"DATE","OPEN","HIGH","LOW","CLOSE","TICKVOL","VOL"
2013-03-21,98.01,98.26,98.01,98.11,1530,539
2013-03-22,98.4,98.45,98.2,98.25,1730,626
2013-03-25,98.43,98.58,98.43,98.43,500,155
2013-03-26,98.55,98.75,98.55,98.65,610,225
2013-03-27,98.56,98.61,98.56,98.61,880,97
2013-03-28,98.05,98.1,97.8,98.1,730,337
2013-04-01,98.05,98.05,97.7,97.8,470,216
2013-04-02,97.8,98.25,97.75,98.2,910,324
2013-04-03,98.51,98.61,98.51,98.61,1900,456
2013-04-04,98.85,98.85,98.65,98.85,1380,575
2013-04-05,98.9,98.9,98.55,98.55,1200,556
2013-04-08,98.8,98.8,98.3,98.4,850,561
2013-04-09,98.7,98.9,98.65,98.85,1260,733
2013-04-10,98.5,98.95,98.3,98.75,860,583
2013-04-11,99,99.1,98.95,99.05,1020,755
2013-04-12,99.03,99.08,98.68,98.83,550,385
2013-04-15,99.1,99.55,99.1,99.4,1390,934
2013-04-16,99.75,100.15,99.6,99.8,1030,929
2013-04-17,100,100,99.6,99.6,950,661
2013-04-18,99.7,99.95,99.45,99.8,540,200
2013-04-19,100.1,100.3,100,100.1,670,562
2013-04-22,99.94,100.15,99.7,100,1370,1158
2013-04-23,99.8,100.15,99.75,99.8,1110,454
2013-04-24,100,100,99.65,99.8,790,229
2013-04-25,100.09,100.15,100,100,330,126
2013-04-26,99.81,99.91,99.81,99.91,510,932
2013-04-29,99.85,99.85,99.8,99.8,290,167
2013-04-30,96.88,97.1,96.55,96.85,2800,1143
2013-05-02,97,97.35,96.55,96.75,2970,1250
2013-05-03,97.16,97.6,97.15,97.3,5310,3038
2013-05-06,96.7,96.9,96.6,96.65,2460,785
2013-05-07,96.4,96.79,96.24,96.39,7440,3033
2013-05-08,96.14,96.14,95.79,96.04,4600,2142
2013-05-09,96.57,96.7,96.25,96.3,5000,1885
2013-05-10,96.11,96.31,96.01,96.11,4120,2108
2013-05-13,96.01,96.16,95.76,95.86,3010,1146
2013-05-14,96.69,96.99,96.69,96.94,7850,2672
2013-05-15,96.72,96.87,96.57,96.57,4150,1586
2013-05-16,96.5,96.8,96.5,96.75,2840,951
2013-05-17,97,97.2,96.9,97.15,4040,1539
2013-05-20,97.29,97.35,97.1,97.15,3130,951
2013-05-21,97.16,97.31,97.16,97.26,2670,1584
2013-05-22,97.25,97.55,97.2,97.5,3480,2242
2013-05-23,97.69,97.75,97.45,97.45,2210,1274
2013-05-24,97.5,97.6,97.25,97.4,3480,1542
2013-05-27,97.65,97.8,97.45,97.5,1310,780
2013-05-28,97.69,97.69,97.54,97.59,2220,1443
2013-05-29,97.79,97.94,97.79,97.84,760,552
2013-05-31,98.78,98.78,98.68,98.73,890,376
2013-06-03,98.84,99,98.8,98.8,1590,982
2013-06-04,98.8,98.8,98.45,98.55,2770,1680
2013-06-05,98.89,98.99,98.64,98.89,3180,1699
2013-06-06,98.99,99.14,98.79,98.84,2950,1412
2013-06-07,99.01,99.11,98.71,98.71,5120,2715
2013-06-10,98.79,98.99,98.69,98.84,2250,985
2013-06-11,98.5,98.95,98.45,98.65,3450,2344
2013-06-12,98.89,99.1,98.7,98.85,2880,1663
2013-06-13,98.51,98.71,98.51,98.66,4270,1660
2013-06-14,98.84,99.04,98.84,98.94,3120,1402
2013-06-17,99.14,99.26,99.06,99.16,2740,2175
2013-06-18,99.09,99.14,98.84,98.84,2490,2415
2013-06-19,99.15,99.15,98.76,98.86,1430,2076
2013-06-20,99.3,99.34,99.19,99.24,2240,1167
2013-06-21,99.5,99.6,99.4,99.6,1400,913
2013-06-24,99.6,99.7,99.4,99.4,1330,1219
2013-06-25,99.55,99.65,99.5,99.5,1170,1452
2013-06-26,99.6,99.9,99.55,99.9,950,793
2013-06-27,99.72,99.72,99.67,99.67,930,2035
2013-06-28,101.7,101.95,101.65,101.9,2520,1366
2013-07-01,102,102.05,101.85,101.9,1540,656
2013-07-02,101.85,101.85,101.65,101.85,3020,1558
2013-07-03,102.15,102.15,101.7,101.95,5000,2980
2013-07-04,102.19,102.29,101.89,102.24,3760,1949
2013-07-05,102.45,102.57,102.27,102.42,3030,1695
2013-07-08,102.35,102.45,102.3,102.35,1830,730
2013-07-10,102.86,103.25,102.85,103.15,3580,2059
2013-07-11,103.19,103.59,103.14,103.44,4980,2715
2013-07-12,103.6,103.9,103.5,103.7,4310,2059
2013-07-15,103.4,103.65,103.25,103.55,3110,1478
2013-07-16,103.79,103.79,103.59,103.59,2320,1705
2013-07-17,103.44,103.44,102.74,102.89,5550,4256
2013-07-18,102.73,102.73,101.98,102.08,3900,2130
2013-07-19,102,102.15,101.55,101.8,5970,4005
2013-07-22,102.2,102.2,101.65,101.8,3500,2105
2013-07-23,102.02,102.17,101.92,102.02,2940,2281
2013-07-24,102.48,102.49,102.29,102.34,2950,1643
2013-07-25,102.5,102.65,102.35,102.55,2980,2296
2013-07-26,102.5,102.65,102.5,102.65,1060,555
2013-07-29,102.4,102.4,102.35,102.35,910,649
2013-07-30,102.3,102.3,102.15,102.25,720,433
2013-07-31,101.76,101.8,101.55,101.65,5280,3359
